name,price,latitude,longitude,url,location,room_type,"""Balcony""","""Cable Ready""","""Convenience Store""","""Dishwasher Available""","""Flooring - Ceramic""","""Flooring - Hardwood""","""Fridge""","""Heating""","""Laundry Facilities""","""Microwave""","""Nearby""","""On-site Management""","""On-site Staff""","""Parking - Underground""","""Parking - Visitor""","""Parks""","""Public Transit""","""Schools""","""Shopping""","""Storage Lockers""","""Stove""","""Walk-in Closet""","""Water""","""Other""","""Outdoor Parking""","""Air Conditioning""","""Elevators""","""Fitness Room""","""Keyless Entry""","""Recreation Room""","""Social Room""","""Blinds""","""Dryer""","""Internet Ready""","""Sauna""","""Washer""","""24h Security""","""Bike Racks""","""Central Air Conditioning""","""Elevator""","""Exercise Room""","""Fitness Area""","""Hydro / Electricity""","""Jacuzzi""","""Party Room""","""Pool - Heated""","""Rooftop Deck""","""Secured Access""","""Security On-site""","""Swimming Pool""","""Bike Room""","""Parking - Assigned""","""Parking - Covered""","""Parking""","""School""","""City View""","""Outdoor Play Area""","""Pool - Outdoor""","""Private Yard""","""Storage""","""Video Surveillance""","""Window Coverings""","""Park View""","""Pool - Indoor""","""Storage Room""","""Bank""","""Bars""","""Bbq Area/Courtyard""","""Bike Trails""","""Bus Stop""","""Cafe""","""Daycare""","""Dishwasher""","""Dog Park""","""Garden""","""Gas Station""","""Grocery Store""","""Gym""","""Hospital""","""Movie Theater""","""Pool""","""Public Library""","""Recycling""","""Restaurants""","""Running Path""","""Security Cameras""","""Shopping Centre""","""Cable""","""Ensuite Laundry""","""Fireplace""","""Flooring - Laminate""","""Internet / WiFi""","""Playground""","""Alarm System""","""Flooring - Tile""","""Gas Heating""","""Patio""","""Flooring - Carpeted""","""Hot Tub""","""Individual Thermostats""","""Rooftop Pool""","""Theatre Room""","""Buzzer Entry""","""Intercom""","""Private Entry""","""Professionally Managed""","""Wheelchair Access""","""Pet Friendly""","""Rooftop Garden""","""Rooftop Lounge""","""24h Emergency""","""Family Friendly""","""Media Room""","""Newly Renovated""","""Stainless Steel Appliances""","""Furnished""","""Guest Suite""","""Movie Room""","""Backyard""","""Radiant Heat""","""Bbq Grill""","""freezer included""","""fridge included""","""oven included""","""smoker friendly""","""Concierge""","""Tennis Court""","""Electric Vehicle Charger""","""In-Suite Laundry""","""Secure Entry""","""Smoking Permitted""","""Harwood Floors""","""Flooring - Laminate Hardwood""","""Game Room""","""Shared Yard""","""Resident Insurance""","""Upgraded Kitchen""","""Controlled Access""","""Flooring - Mixed Options""","""Freshly Painted""","""Highway""","""Open Concept Design""","""Large Windows""","""internet available""","""Island""","""New Appliances""","""Locker Room""","""Bus Routes""","""Sundeck""","""Flooring - Wood""","""Granite Countertops""","""Pool - Rooftop""","""Hookups""","""Laundry Room""","""Waterfront View""","""Ensuite Bathroom""","""Resident Managers""","""Garage""","""Security System""","""Deck""","""gym""","""meeting room""","""Fitness Centre""","""Fully Equipped Kitchen""","""Outdoor Terrace""","""Courtyard""","""Daycare On Site""","""Billiards Room""","""24H Surveillance""","""Community Garden""","""Night Patrol""","""Outdoor Playground""","""Parking - Indoor""","""24H Maintenance""","""Online Payments Available""","""8""","""Church""","""24H On-Site Security""","""Utilities Included""","""Key Card Security""","""Skiing""","""Underground Parking""","""Visitor Parking""","""Cat Friendly""","""Dog Friendly""","""On-Site Resident Managers""","""Atm""","""Recreation""","""Pool - Private""","""Satellite TV""","""Attached Parking""","""Car Wash""","""Marina""","""Electricity - Available""","""Natural Gas - Available""","""Detached Garage""","""Wall Unit""","""Parking - Carport""","""Flooring - Vinyl""","""Garburator""","""Basketball Court""","""Electricity - Installed""","""Natural Gas - Installed""","""Refrigerator""","""Wine Fridge""","""Other / Cable - Installed""","""Cooktop""","""Hood Fan""","""Water - Available""","""Golf Course""","""Window Air Conditioner""","""Washer/Dryer""","""Card Laundry""","""Security Guard"""
20 Joe Shuster Way,2995.0,43.6402772,-79.424126,https://rentals.ca/toronto/20-joe-shuster-way-id327486,Toronto,2 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Iceboat Terrace,2890.0,43.6405271,-79.3971,https://rentals.ca/toronto/15-iceboat-terrace-id327485,Toronto,2 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38 Grenville Street,2600.0,43.6618956,-79.385747,https://rentals.ca/toronto/38-grenville-street-id327484,Toronto,1.5 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38 Grenville Street,2600.0,43.6618956,-79.385747,https://rentals.ca/toronto/38-grenville-street-id327483,Toronto,1.5 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51 Lower Simcoe Street,2300.0,43.6422382,-79.383575,https://rentals.ca/toronto/51-lower-simcoe-street-id327482,Toronto,1 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Brunel Court,2150.0,43.6394055,-79.393232,https://rentals.ca/toronto/11-brunel-court-id327480,Toronto,1 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955 Bay Street,2100.0,43.6647827,-79.386993,https://rentals.ca/toronto/955-bay-street-id327479,Toronto,1 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181 Dundas Street East,2050.0,43.657011,-79.374105,https://rentals.ca/toronto/181-dundas-street-east-id327478,Toronto,1 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230 King Street East,1950.0,43.65147260000001,-79.36817,https://rentals.ca/toronto/230-king-street-east-id327477,Toronto,1 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70 Temperance Street,1900.0,43.65053009999999,-79.382148,https://rentals.ca/toronto/70-temperance-street-id327475,Toronto,0 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115 Linsmore Crescent,3750.0,43.68632909999999,-79.3314027999999,https://rentals.ca/east-york/115-linsmore-crescent,EastYork,3 Bedroom,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37 Linden Street,4200.0,43.67065199999999,-79.3763630999999,https://rentals.ca/toronto/37-linden-street,Toronto,3 Bedroom,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155 Legion Road North,1850.0,43.6237825,-79.48831,https://rentals.ca/etobicoke/155-legion-road-north-id327470,Etobicoke,1 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125 Western Battery Road,2450.0,43.63982499999999,-79.416415,https://rentals.ca/toronto/125-western-battery-road-id325424,Toronto,1.5 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209 Fort York Boulevard,2150.0,43.63708740000001,-79.404535,https://rentals.ca/toronto/209-fort-york-boulevard-id325247,Toronto,1.5 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serrano at Village Gate West,"1760.0,2030.0,2160.0,2350.0",43.6433524,-79.5330748999999,https://rentals.ca/etobicoke/11-dunbloor-rd,Etobicoke,"Studio ,1 Bed ,1 Bed + den,2 bed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85 Queens Wharf Road,3200.0,43.6389644,-79.3985302999999,https://rentals.ca/toronto/85-queens-wharf-road-id327279,Toronto,2 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57 Saint Joseph Street,2150.0,43.66535629999999,-79.38799,https://rentals.ca/toronto/57-saint-joseph-street-id327275,Toronto,1.5 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58 Orchard View Boulevard,1900.0,43.708008,-79.400784,https://rentals.ca/toronto/58-orchard-view-boulevard-id327273,Toronto,1 Bedroom,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375 King Street West,3750.0,43.645641,-79.392953,https://rentals.ca/toronto/375-king-street-west-id316204,Toronto,2.5 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38 Dan Leckie Way,1750.0,43.63753029999999,-79.398177,https://rentals.ca/toronto/38-dan-leckie-way-id306446,Toronto,0 Bedroom,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3091 Dufferin Street,2000.0,43.7158616,-79.45421,https://rentals.ca/north-york/3091-dufferin-street-id326194,NorthYork,1 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181 Dundas Street East,2000.0,43.657011,-79.374105,https://rentals.ca/toronto/181-dundas-street-east-id322685,Toronto,1.5 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Tubman Avenue,1888.0,43.6606518,-79.35962,https://rentals.ca/toronto/20-tubman-avenue-id316185,Toronto,1 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251 Jarvis Street,1650.0,43.6574957,-79.374371,https://rentals.ca/toronto/251-jarvis-street-id326193,Toronto,0 Bedroom,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560 Birchmount Road,"1300.0,1700.0,1900.0,2075.0",43.712305,-79.270969,https://rentals.ca/scarborough/560-birchmount-road,Scarborough,"Bachelor,1BR,2BR,3BR",,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Coronet,"1350.0,1550.0,1625.0,2350.0,2550.0",43.716266,-79.429818,https://rentals.ca/north-york/120-shelborne-avenue,NorthYork,"Bachelor,Jr 1BR,Jr Suite,2BR,3BR",1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beautiful 1 Bed/1 Bath  Apartment - Yonge/St. Clair,2170.0,43.683622,-79.3920007999999,https://rentals.ca/toronto/1233-yonge-street,Toronto,1.0 Bedroom,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125 Redpath Avenue,1950.0,43.7076691,-79.392306,https://rentals.ca/toronto/125-redpath-avenue-id322682,Toronto,1 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70 Temperance Street,1900.0,43.65053009999999,-79.382148,https://rentals.ca/toronto/70-temperance-street-id326837,Toronto,0 Bedroom,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251 Jarvis Street,2300.0,43.6574957,-79.374371,https://rentals.ca/toronto/251-jarvis-street-id326815,Toronto,2 Bedroom,1.0,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83 Redpath Avenue,2100.0,43.706541,-79.391948,https://rentals.ca/toronto/83-redpath-avenue-id326395,Toronto,1.5 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
