name,price,latitude,longitude,url,location,room_type,"""Balcony""","""Cable Ready""","""Convenience Store""","""Dishwasher Available""","""Flooring - Ceramic""","""Flooring - Hardwood""","""Fridge""","""Heating""","""Laundry Facilities""","""Microwave""","""Nearby""","""On-site Management""","""On-site Staff""","""Parking - Underground""","""Parking - Visitor""","""Parks""","""Public Transit""","""Schools""","""Shopping""","""Storage Lockers""","""Stove""","""Walk-in Closet""","""Water""","""Other""","""Outdoor Parking""","""Air Conditioning""","""Elevators""","""Fitness Room""","""Keyless Entry""","""Recreation Room""","""Social Room""","""Blinds""","""Dryer""","""Internet Ready""","""Sauna""","""Washer""","""24h Security""","""Bike Racks""","""Central Air Conditioning""","""Elevator""","""Exercise Room""","""Fitness Area""","""Hydro / Electricity""","""Jacuzzi""","""Party Room""","""Pool - Heated""","""Rooftop Deck""","""Secured Access""","""Security On-site""","""Swimming Pool""","""Bike Room""","""Parking - Assigned""","""Parking - Covered""","""Parking""","""School""","""City View""","""Outdoor Play Area""","""Pool - Outdoor""","""Private Yard""","""Storage""","""Video Surveillance""","""Window Coverings""","""Park View""","""Pool - Indoor""","""Storage Room""","""Bank""","""Bars""","""Bbq Area/Courtyard""","""Bike Trails""","""Bus Stop""","""Cafe""","""Daycare""","""Dishwasher""","""Dog Park""","""Garden""","""Gas Station""","""Grocery Store""","""Gym""","""Hospital""","""Movie Theater""","""Pool""","""Public Library""","""Recycling""","""Restaurants""","""Running Path""","""Security Cameras""","""Shopping Centre""","""Cable""","""Ensuite Laundry""","""Fireplace""","""Flooring - Laminate""","""Internet / WiFi""","""Playground""","""Alarm System""","""Flooring - Tile""","""Gas Heating""","""Patio""","""Flooring - Carpeted""","""Hot Tub""","""Individual Thermostats""","""Rooftop Pool""","""Theatre Room""","""Buzzer Entry""","""Intercom""","""Private Entry""","""Professionally Managed""","""Wheelchair Access""","""Pet Friendly""","""Rooftop Garden""","""Rooftop Lounge""","""24h Emergency""","""Family Friendly""","""Media Room""","""Newly Renovated""","""Stainless Steel Appliances""","""Furnished""","""Guest Suite""","""Movie Room""","""Backyard""","""Radiant Heat""","""Bbq Grill""","""freezer included""","""fridge included""","""oven included""","""smoker friendly""","""Concierge""","""Tennis Court""","""Electric Vehicle Charger""","""In-Suite Laundry""","""Secure Entry""","""Smoking Permitted""","""Harwood Floors""","""Flooring - Laminate Hardwood""","""Game Room""","""Shared Yard""","""Resident Insurance""","""Upgraded Kitchen""","""Controlled Access""","""Flooring - Mixed Options""","""Freshly Painted""","""Highway""","""Open Concept Design""","""Large Windows""","""internet available""","""Island""","""New Appliances""","""Locker Room""","""Bus Routes""","""Sundeck""","""Flooring - Wood""","""Granite Countertops""","""Pool - Rooftop""","""Hookups""","""Laundry Room""","""Waterfront View""","""Ensuite Bathroom""","""Resident Managers""","""Garage""","""Security System""","""Deck""","""gym""","""meeting room""","""Fitness Centre""","""Fully Equipped Kitchen""","""Outdoor Terrace""","""Courtyard""","""Daycare On Site""","""Billiards Room""","""24H Surveillance""","""Community Garden""","""Night Patrol""","""Outdoor Playground""","""Parking - Indoor""","""24H Maintenance""","""Online Payments Available""","""8""","""Church""","""24H On-Site Security""","""Utilities Included""","""Key Card Security""","""Skiing""","""Underground Parking""","""Visitor Parking""","""Cat Friendly""","""Dog Friendly""","""On-Site Resident Managers""","""Atm""","""Recreation""","""Pool - Private""","""Satellite TV""","""Attached Parking""","""Car Wash""","""Marina""","""Electricity - Available""","""Natural Gas - Available""","""Detached Garage""","""Wall Unit""","""Parking - Carport""","""Flooring - Vinyl""","""Garburator""","""Basketball Court""","""Electricity - Installed""","""Natural Gas - Installed""","""Refrigerator""","""Wine Fridge""","""Other / Cable - Installed""","""Cooktop""","""Hood Fan""","""Water - Available""","""Golf Course""","""Window Air Conditioner""","""Washer/Dryer""","""Card Laundry""","""Security Guard"""
251 Jarvis Street,1600.0,43.6574957,-79.374371,https://rentals.ca/toronto/251-jarvis-street-id328392,Toronto,0 bedroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 York Street,2800.0,43.6418503,-79.382245,https://rentals.ca/toronto/14-york-street-id328391,Toronto,2 bedroom,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339 Ellerslie,2700.0,43.7674448,-79.43115,https://rentals.ca/north-york/339-ellerslie,NorthYork,2 bedroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
525 Wilson,2000.0,43.73375890000001,-79.446148,https://rentals.ca/north-york/525-wilson-id321829,NorthYork,2 bedroom,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens Harbour,2950.0,43.6367593,-79.39785,https://rentals.ca/toronto/queens-harbour,Toronto,2 Bedroom,1.0,,,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120 Harrison Garden Boulevard,2200.0,43.7580713,-79.403165,https://rentals.ca/north-york/120-harrison-garden-boulevard-id327358,NorthYork,1 Bedroom,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
303 Kane Avenue,1699.0,43.6884377,-79.4689162999999,https://rentals.ca/toronto/96-uxbridge-avenue,York,1 Bedroom,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4K Spadina,1995.0,43.6409222,-79.39398,https://rentals.ca/toronto/4k-spadina-id328385,Toronto,4K Spadina Avenue,1.0,,1.0,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46 Forbes Rd,1700.0,43.7555144,-79.2792989999999,https://rentals.ca/scarborough/46-forbes-rd-0,Scarborough,2 Bedroom,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 York Street,4200.0,43.6418503,-79.382245,https://rentals.ca/north-york/100-lotherton-pathway-2,Toronto,3.5 Bedroom,1.0,1.0,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
